Variant,VariableA,VariableB,,The system is capable of interpreting situations correctly.,The system state was always clear to me.,I already know similar systems.,The developers are trustworthy.,One should be careful with unfamiliar automated systems.,The system works reliably.,The system reacts unpredictably.,The developers take my well-being seriously.,I trust the system.,A system malfunction is likely.,I was able to understand why things happened.,I rather trust a system than mistrust it.,The system is capable of taking over complicated tasks.,I can rely on the system.,The system might make sporadic (unpredictable) errors.,It is difficult to identify what the system will do next.,I have already used similar systems.,AI Voice Assistant systems generally work well.,I am confident about the system's capabilities.,,Reliability,Understanding,Familiarity,Intentions,Propensity,Trust
3,A1,B2,,5,3,4,3,-4,4,-2,3,4,-4,5,3,4,4,-3,-3,5,4,5,,11,3,9,6,3,8
1,A1,B1,,5,5,5,5,-2,5,-1,4,5,-1,5,5,4,5,-2,-1,5,5,5,,16,8,10,9,8,10
3,A1,B2,,4,3,4,4,-4,4,-2,3,4,-2,4,4,3,4,-2,-2,4,4,4,,11,3,8,7,4,8
4,A2,B2,,3,#N/A,5,2,-5,4,-3,2,4,-2,4,3,4,4,-4,-3,5,4,4,,9,#N/A,10,4,2,8
1,A1,B1,,5,5,5,3,-3,4,-2,4,5,-3,5,4,2,4,-4,-2,5,4,5,,9,6,10,7,5,9
2,A2,B1,,4,4,3,3,-4,4,-2,3,4,-3,4,3,4,2,-4,-3,2,2,3,,8,3,5,6,1,6
1,A1,B1,,4,4,5,4,-4,4,-2,3,4,-2,4,4,3,4,-3,-2,4,4,4,,10,4,9,7,4,8
3,A1,B2,,4,4,2,4,-3,4,-2,3,3,-3,5,4,3,4,-3,-3,2,5,4,,9,4,4,7,6,7
4,A2,B2,,4,5,5,4,-3,5,-3,3,4,-3,3,4,3,4,-3,-3,5,5,4,,10,2,10,7,6,8
2,A2,B1,,3,3,4,3,-3,4,-1,3,3,-3,3,3,3,4,-1,-3,4,4,4,,10,2,8,6,4,7
1,A1,B1,,5,5,5,4,-5,5,-2,5,4,-1,5,3,5,4,-5,-2,5,4,5,,14,6,10,9,2,8
3,A1,B2,,3,3,4,3,-2,4,-2,5,4,-3,4,3,3,4,-3,-2,4,4,4,,8,3,8,8,5,8
4,A2,B2,,4,5,2,4,-3,4,-2,3,3,-3,4,4,3,4,-2,-2,2,5,4,,10,5,4,7,6,7
2,A2,B1,,5,5,4,5,-3,4,-1,3,5,-2,1,4,3,5,-3,-2,5,5,4,,11,3,9,8,6,10
3,A1,B2,,3,5,5,4,-4,5,-1,4,5,#N/A,5,5,5,5,-3,-2,5,5,5,,#N/A,7,10,8,6,10
1,A1,B1,,4,4,3,3,-4,4,-3,3,3,-3,5,2,4,4,-4,-3,3,3,3,,8,3,6,6,1,7
3,A1,B2,,4,3,4,3,-4,3,-2,3,4,-3,4,4,2,4,-4,-2,4,4,4,,6,3,8,6,4,8
1,A1,B1,,2,2,2,2,-5,3,-2,2,2,-2,5,2,3,2,-4,-2,2,3,3,,5,3,4,4,0,4
2,A2,B1,,5,5,2,5,-5,5,-3,5,5,-3,4,5,4,5,-4,-4,5,4,5,,12,2,7,10,4,10
3,A1,B2,,4,4,4,4,-4,4,-2,2,2,-2,5,4,2,2,-5,-5,4,4,4,,7,2,8,6,4,4
4,A2,B2,,3,4,4,4,-4,3,-2,3,4,-3,3,4,3,3,-3,-2,5,4,4,,7,3,9,7,4,7
3,A1,B2,,2,2,2,3,-5,2,-3,3,2,-3,1,2,4,2,-4,-4,2,3,2,,3,-4,4,6,0,4
2,A2,B1,,4,4,4,4,-2,4,-2,3,4,-2,4,4,3,4,-2,-3,4,4,4,,11,3,8,7,6,8
4,A2,B2,,4,4,4,4,-3,3,-2,4,3,-3,4,2,3,3,-3,-2,2,4,4,,8,4,6,8,3,6
1,A1,B1,,4,4,4,4,-4,4,-1,4,4,-4,4,3,4,3,-4,-4,4,4,4,,8,3,8,8,3,7
4,A2,B2,,5,5,2,3,-2,4,-1,4,4,-2,5,4,4,4,-2,-2,1,4,4,,13,7,3,7,6,8
3,A1,B2,,4,4,4,4,-4,4,-2,3,3,-2,4,2,3,3,-4,-2,4,3,3,,8,4,8,7,1,6
4,A2,B2,,4,5,5,4,-2,4,-2,3,4,-2,5,3,2,5,-4,-2,5,5,5,,9,6,10,7,6,9
2,A2,B1,,4,4,4,4,-4,4,-2,3,4,-3,4,3,3,3,-4,-2,4,4,4,,8,4,8,7,3,7
2,A2,B1,,4,5,4,4,-4,4,-2,3,3,-2,5,4,3,3,-4,-2,4,5,4,,9,6,8,7,5,6
1,A1,B1,,2,3,3,2,-5,2,-3,1,1,-4,5,3,2,2,-4,-2,2,2,2,,0,3,5,3,0,3
3,A1,B2,,4,4,4,3,-3,3,-4,2,3,-2,4,3,3,3,-4,-3,5,4,4,,8,1,9,5,4,6
1,A1,B1,,5,#N/A,4,5,#N/A,5,-2,5,4,-4,#N/A,5,5,5,-2,-2,4,5,5,,14,#N/A,8,10,#N/A,9
2,A2,B1,,5,5,5,5,-5,5,-5,5,5,-4,5,5,5,5,-4,-5,4,5,5,,12,0,9,10,5,10
4,A2,B2,,4,5,5,2,-5,4,-2,1,2,-4,5,1,2,2,-5,-2,5,4,4,,5,6,10,3,0,4
4,A2,B2,,4,4,5,3,-4,3,-2,3,3,-4,4,4,3,4,-4,-4,5,4,3,,5,2,10,6,4,7
2,A2,B1,,5,5,5,5,-4,5,-2,5,5,-3,5,5,5,5,-2,-2,5,5,5,,15,6,10,10,6,10
3,A1,B2,,5,5,5,3,-4,5,-1,3,4,-2,#N/A,4,5,4,-4,-3,5,5,4,,13,#N/A,10,6,5,8
1,A1,B1,,4,4,5,3,-4,3,-3,2,4,-3,4,3,5,3,-3,-2,5,5,4,,10,3,10,5,4,7
1,A1,B1,,3,3,4,3,-5,3,-3,2,2,-3,5,2,1,3,-4,-2,4,3,3,,3,3,8,5,0,5
4,A2,B2,,3,4,3,4,-4,3,-3,5,5,-4,4,4,3,4,-4,-3,4,4,4,,5,2,7,9,4,9
4,A2,B2,,4,3,3,2,-5,4,-3,2,3,-4,4,3,4,2,-5,-3,4,4,3,,6,1,7,4,2,5
2,A2,B1,,3,4,5,3,-4,4,-3,3,3,-3,4,4,3,4,-3,-3,5,4,4,,8,2,10,6,4,7
3,A1,B2,,5,5,5,4,-4,4,-3,5,4,-3,5,4,3,4,-3,-2,5,4,4,,10,5,10,9,4,8
1,A1,B1,,3,4,4,3,-4,4,-1,3,3,-2,4,2,2,3,-3,-2,4,3,2,,6,5,8,6,1,6
2,A2,B1,,3,4,3,3,-5,4,-2,1,2,-3,5,2,2,2,-4,-2,3,2,4,,6,5,6,4,-1,4
3,A1,B2,,2,1,4,2,#N/A,1,#N/A,1,1,#N/A,1,1,1,1,#N/A,-5,4,2,1,,#N/A,#N/A,8,3,#N/A,2
2,A2,B1,,4,#N/A,4,3,-5,5,-2,3,1,-3,5,1,4,4,-4,-2,3,4,5,,11,#N/A,7,6,0,5
3,A1,B2,,3,5,5,3,-4,4,-2,3,4,-3,5,4,4,4,-4,-3,5,4,4,,8,5,10,6,4,8
1,A1,B1,,4,3,4,3,-4,4,-2,3,3,-3,4,2,3,3,-3,-2,4,4,3,,8,3,8,6,2,6
4,A2,B2,,4,5,5,5,-4,4,-4,3,4,-5,5,4,4,5,-4,-2,4,4,4,,7,4,9,8,4,9
3,A1,B2,,4,3,3,4,-3,4,-3,4,4,-3,4,3,3,4,-3,-3,4,4,4,,9,1,7,8,4,8
2,A2,B1,,3,4,1,2,#N/A,1,-4,2,1,#N/A,5,1,1,1,#N/A,#N/A,1,2,5,,#N/A,#N/A,2,4,#N/A,2
2,A2,B1,,5,5,2,4,-3,5,-2,4,4,-1,5,3,3,5,-3,-2,1,5,5,,14,6,3,8,5,9
4,A2,B2,,4,4,4,3,-3,3,-3,3,3,-3,4,2,3,4,-4,-2,4,4,5,,8,3,8,6,3,7
3,A1,B2,,4,3,4,1,-5,3,-2,1,2,-3,5,3,4,2,-5,-2,2,3,3,,6,4,6,2,1,4
1,A1,B1,,5,5,2,4,-4,4,-4,1,5,-4,5,5,4,4,-4,-2,5,4,4,,9,4,7,5,5,9
1,A1,B1,,4,5,5,3,-4,4,-2,3,4,-1,5,4,4,5,-2,-3,5,4,4,,13,5,10,6,4,9
4,A2,B2,,4,4,4,3,-5,4,-2,4,4,-2,4,2,3,4,-2,-3,4,4,4,,11,3,8,7,1,8
3,A1,B2,,4,4,2,4,-4,4,-2,3,4,-3,4,4,3,3,-4,-3,2,3,4,,8,3,4,7,3,7
4,A2,B2,,5,4,4,5,-5,5,-2,5,3,-4,5,5,5,4,-2,-5,5,4,5,,14,2,9,10,4,7
3,A1,B2,,4,4,4,4,-4,3,-4,2,2,-4,4,4,2,3,-5,-4,5,4,2,,2,0,9,6,4,5
2,A2,B1,,5,4,2,3,-5,5,-2,3,3,-3,5,4,4,4,-5,-5,2,5,4,,10,2,4,6,4,7
1,A1,B1,,5,5,5,4,-4,4,-2,3,4,-3,5,5,4,5,-2,-2,5,5,5,,13,6,10,7,6,9
3,A1,B2,,4,4,5,3,-5,4,-3,3,4,-4,4,3,2,4,-5,-3,5,4,3,,4,2,10,6,2,8
2,A2,B1,,4,4,3,3,-4,4,-3,2,4,-3,4,4,4,4,-3,-2,2,4,4,,10,3,5,5,4,8
1,A1,B1,,5,#N/A,4,#N/A,-4,4,#N/A,#N/A,1,-5,4,3,2,3,-4,-2,5,3,3,,5,#N/A,9,#N/A,2,4
3,A1,B2,,4,3,3,3,-3,4,-3,3,3,-4,4,3,4,3,-3,-4,3,4,3,,8,0,6,6,4,6
1,A1,B1,,5,5,4,4,-3,4,-2,4,4,-3,4,4,3,4,-3,-2,4,4,4,,10,5,8,8,5,8
2,A2,B1,,5,4,5,3,-4,5,-1,3,4,-3,5,4,4,5,-4,-3,5,4,4,,11,5,10,6,4,9
3,A1,B2,,5,5,5,#N/A,-5,5,-1,#N/A,1,-4,5,1,#N/A,#N/A,-4,-1,1,3,4,,#N/A,8,6,#N/A,-1,#N/A
3,A1,B2,,4,5,3,4,-4,4,-4,3,5,-3,5,3,4,5,-5,-4,3,4,4,,8,2,6,7,3,10
1,A1,B1,,5,4,5,4,-5,4,-2,4,4,-4,5,5,4,4,-5,-1,5,4,5,,9,6,10,8,4,8
2,A2,B1,,3,3,5,3,-4,3,-3,3,3,-3,4,3,3,3,-4,-3,5,3,3,,5,1,10,6,2,6
4,A2,B2,,4,5,4,4,-5,4,-2,3,3,-3,4,4,3,3,-4,-2,4,4,3,,7,5,8,7,3,6
4,A2,B2,,3,5,5,3,-3,3,-1,3,4,-2,5,3,2,3,-5,-4,5,3,4,,5,5,10,6,3,7
3,A1,B2,,4,4,5,4,-5,5,-2,4,5,-2,5,5,4,4,-3,-2,5,4,4,,12,5,10,8,4,9
2,A2,B1,,4,5,5,3,-5,4,-2,3,4,-2,5,4,4,4,-4,-2,5,4,4,,10,6,10,6,3,8
2,A2,B1,,5,5,5,4,-4,5,-5,5,5,-2,5,5,5,5,-1,-1,5,5,5,,17,4,10,9,6,10
3,A1,B2,,5,5,4,5,-4,5,-1,5,4,-3,5,5,5,5,-3,-3,4,5,4,,13,6,8,10,6,9
3,A1,B2,,3,3,1,2,-4,4,-2,2,2,-3,4,2,2,3,-4,-2,1,3,3,,5,3,2,4,1,5
4,A2,B2,,4,5,4,3,-3,5,-1,3,3,-3,5,3,2,4,-3,-1,4,5,4,,9,8,8,6,5,7
4,A2,B2,,5,4,4,4,-2,5,-1,4,5,-2,5,4,4,4,-2,-2,4,5,5,,15,6,8,8,7,9
4,A2,B2,,4,5,4,5,-5,5,-3,5,5,-3,#N/A,4,5,5,-4,-4,2,4,5,,12,#N/A,6,10,3,10
1,A1,B1,,4,3,4,2,-4,4,-3,2,3,-3,4,3,4,3,-3,-3,5,4,3,,9,1,9,4,3,6
3,A1,B2,,1,3,4,3,#N/A,1,-5,1,3,#N/A,4,1,1,1,#N/A,-5,4,4,2,,#N/A,-3,8,4,#N/A,4
1,A1,B1,,4,5,5,4,-2,5,-2,4,4,-2,5,4,4,5,-5,-2,5,5,5,,11,6,10,8,7,9
2,A2,B1,,4,5,4,3,-3,5,-2,2,4,-2,4,4,3,5,-5,-2,4,4,4,,9,5,8,5,5,9
2,A2,B1,,4,3,#N/A,3,-5,4,-2,3,4,-3,5,3,4,4,-4,-5,#N/A,4,4,,9,1,#N/A,6,2,8
4,A2,B2,,3,4,3,3,-4,3,-2,3,3,-3,4,2,2,4,-4,-3,3,4,3,,4,3,6,6,2,7
