Duration (in seconds),Response ID,Please enter your Prolific ID.,,Variant,VarA,VarB,,The system is capable of interpreting situations correctly.,The system state was always clear to me.,I already know similar systems.,The developers are trustworthy.,One should be careful with unfamiliar automated systems.,The system works reliably.,The system reacts unpredictably.,The developers take my well-being seriously.,I trust the system.,A system malfunction is likely.,I was able to understand why things happened.,I rather trust a system than mistrust it.,The system is capable of taking over complicated tasks.,I can rely on the system.,The system might make sporadic (unpredictable) errors.,It is difficult to identify what the system will do next.,I have already used similar systems.,AI Voice Assistant systems generally work well.,I am confident about the system's capabilities.,,Reliability,Understanding,Familiarity,Intentions,Propensity,Trust,,Age,Gender,Education,zooFamiliarity,animalFamiliarity,owner,user,frequency
339,R_3Gw7ZA54oulRfie,640cc4eb94665b29f3f5faea,,2,A2,B1,,4,5,3,4,-3,4,-1,3,5,-3,5,4,5,4,-2,-2,4,4,5,,13,7,7,7,5,9,,59,Female,College or University.,Not familiar,Somewhat familiar,"Yes, one.",Yes,Weekly
162,R_1I3LNFGnOPfJqu4,62fbcf5e491faae4a5f24905,,4,A2,B2,,5,5,5,4,-4,5,-2,4,4,-2,3,5,4,4,-3,-2,5,5,5,,14,4,10,8,6,8,,40,Male,Post-graduate degree.,Somewhat familiar,Very familiar,"Yes, multiple.",Yes,Daily
363,R_5gUXu9GOafD8zSh,616d97114eff93a1ea6332df,,1,A1,B1,,4,4,2,4,-3,4,-2,3,2,-3,4,2,3,4,-3,-2,2,3,3,,8,4,4,7,2,6,,55,Female,Post-graduate degree.,Not familiar,Very familiar,No,Yes,Occasionally
204,R_3MQDXu3aoDMPtAZ,5cfa4ad5cc30ef0001b1ec79,,4,A2,B2,,4,5,5,4,-5,5,-2,4,5,-2,5,4,3,4,-4,-2,5,5,5,,11,6,10,8,4,9,,62,Female,College or University.,Not familiar,Somewhat familiar,"Yes, multiple.",Yes,Daily
180,R_2DYNPS7wRRTEEkB,5c7bb4095dcdda001427a670,,4,A2,B2,,4,4,4,4,#N/A,4,-2,3,4,-5,5,3,3,4,-4,-5,4,4,3,,5,2,8,7,#N/A,8,,26,Female,College or University.,Very familiar,Very familiar,No,Yes,Never
264,R_3MMW7PmC85tHEss,6000546f918aa208e124b66a,,1,A1,B1,,3,4,5,3,-4,3,-3,3,3,-4,4,4,4,2,-3,-2,5,4,4,,7,3,10,6,4,5,,33,Female,College or University.,Not familiar,Somewhat familiar,"Yes, multiple.",Yes,Daily
304,R_DUASQVLK1w3Egtb,615f09d51152027754156b2b,,2,A2,B1,,5,5,4,4,-4,3,-2,4,4,-3,5,4,2,4,-2,-2,4,4,4,,9,6,8,8,4,8,,53,Male,College or University.,Not familiar,Very familiar,"Yes, multiple.",Yes,Weekly
228,R_3FWEkF4pEXTayk7,5ee8707482a6e41683c499fc,,2,A2,B1,,5,5,5,3,-5,5,-2,5,4,-2,5,4,5,4,-3,-2,5,5,5,,15,6,10,8,4,8,,43,Male,College or University.,Somewhat familiar,Very familiar,No,Yes,Occasionally
131,R_1Hk2h3sxZgzwP3w,628bef28fbe03c493fe63f57,,3,A1,B2,,4,4,3,3,-5,4,-3,4,3,-4,4,3,4,4,-4,-3,3,4,3,,7,2,6,7,2,7,,31,Male,College or University.,Not familiar,Somewhat familiar,No,Yes,Occasionally
207,R_cZyjPOxikEAvXON,5ff1afb39f4b9e617a5ff07e,,4,A2,B2,,4,3,3,4,-5,4,-3,4,2,-3,4,4,3,2,-4,-4,3,2,3,,7,0,6,8,1,4,,34,Male,College or University.,Not familiar,Not familiar,No,No,
230,R_2WvQLBDFrs5ir2l,64135c5a905f8773d88e1938,,1,A1,B1,,4,5,4,4,-3,4,-2,3,4,-3,5,5,4,4,-3,-3,4,4,4,,10,5,8,7,6,8,,39,Male,College or University.,Somewhat familiar,Somewhat familiar,"Yes, multiple.",Yes,Weekly
167,R_sAORrDFUPl70pvb,6173d699b67b70872e0aa650,,4,A2,B2,,2,5,5,4,-3,4,-2,2,2,-3,5,2,1,4,-3,-2,#N/A,4,4,,5,6,#N/A,6,3,6,,27,Female,"High School or Secondary School (A-Levels, BTEC, etc.)",Not familiar,Very familiar,"Yes, one.",Yes,Daily
158,R_2ZIZbhnCTrbHdMQ,607047e8bf8855d7e3112b91,,4,A2,B2,,4,4,4,4,-5,3,-2,2,3,-5,4,4,4,3,-5,-4,4,4,4,,5,2,8,6,3,6,,32,Female,College or University.,Not familiar,Somewhat familiar,"Yes, one.",Yes,Weekly
200,R_2tsdQ4XiO7hDhyq,5c5243d45acab700012608c7,,1,A1,B1,,4,4,4,4,-4,4,-3,2,4,-4,5,5,2,4,-4,-2,4,4,4,,6,4,8,6,5,8,,43,Female,College or University.,Not familiar,Somewhat familiar,"Yes, multiple.",Yes,Daily
170,R_3smHHeef5eLo8Oq,63ed3a6f78ef6e5956362003,,1,A1,B1,,4,4,5,3,-3,4,-2,3,4,-3,4,3,4,4,-3,-2,5,2,4,,10,4,10,6,2,8,,19,Female,"High School or Secondary School (A-Levels, BTEC, etc.)",Somewhat familiar,Somewhat familiar,"Yes, multiple.",Yes,Daily
428,R_Z30F68mwdtZHMaZ,615a0198a1a2d449a781b8a5,,2,A2,B1,,4,5,5,5,-2,5,-2,5,5,-2,4,5,5,5,-2,-2,5,5,5,,15,5,10,10,8,10,,49,Female,College or University.,Not familiar,Very familiar,"Yes, multiple.",Yes,Weekly
160,R_2e3bGMJIFj4TXgN,5951358109a2890001b507fc,,2,A2,B1,,4,4,5,4,-4,4,-4,4,4,-2,5,4,2,4,-4,-4,4,4,4,,8,1,9,8,4,8,,31,Female,"High School or Secondary School (A-Levels, BTEC, etc.)",Not familiar,Very familiar,"Yes, multiple.",Yes,Daily
185,R_21gH64am3IoFBkK,5ff43deb0d786d5da07f13a4,,4,A2,B2,,3,4,5,3,-5,3,-3,3,2,-4,4,2,3,3,-4,-3,5,4,3,,4,2,10,6,1,5,,45,Female,"High School or Secondary School (A-Levels, BTEC, etc.)",Very familiar,Very familiar,"Yes, multiple.",Yes,Occasionally
169,R_0olpTJidG2io3KN,5ef07bf26ee5495a65cd2116,,3,A1,B2,,4,#N/A,#N/A,3,-3,5,-2,3,4,-3,5,3,4,4,-4,-3,#N/A,3,4,,10,#N/A,#N/A,6,3,8,,34,Female,College or University.,Somewhat familiar,Very familiar,No,No,
205,R_2eUqtPpcfPkC4BV,60e8c7bf12fedabb5e4136c0,,1,A1,B1,,4,4,4,4,-3,4,-2,3,4,-2,4,4,4,4,-2,-2,5,4,4,,12,4,9,7,5,8,,23,Male,College or University.,Not familiar,Very familiar,"Yes, one.",Yes,Weekly
275,R_3ilQddPG6bCL0ux,5d6eb5efa8462f0001b05f6f,,3,A1,B2,,5,4,4,3,-4,5,-2,3,4,-2,3,5,3,5,-3,-3,5,5,5,,13,2,9,6,6,9,,29,Female,"High School or Secondary School (A-Levels, BTEC, etc.)",Not familiar,Somewhat familiar,"Yes, one.",Yes,Occasionally
137,R_9S7Kj28x9pFO4IF,5c5b66cb3312f1000112f694,,4,A2,B2,,2,3,3,3,-4,1,-5,2,1,-4,3,3,1,1,-5,-4,1,2,1,,-4,-3,4,5,1,2,,32,Male,College or University.,Very familiar,Very familiar,"Yes, one.",Yes,Occasionally
243,R_2PpdTt5o6HDybC9,5e42d31f3c8ba101131b0226,,2,A2,B1,,5,5,1,3,#N/A,5,-1,#N/A,4,-3,5,3,#N/A,4,-3,-3,1,4,#N/A,,#N/A,6,2,#N/A,#N/A,8,,63,Male,College or University.,Not familiar,Somewhat familiar,"Yes, multiple.",Yes,Weekly
166,R_ZKqJt1ororosUwx,63f7a673985571acc7eeb29a,,4,A2,B2,,2,5,4,4,-3,4,-4,2,3,-3,3,3,2,4,-4,-2,5,4,4,,5,2,9,6,4,7,,26,Female,College or University.,Somewhat familiar,Very familiar,"Yes, multiple.",Yes,Daily
260,R_3qTE2iguTwho2ru,5fedc499d92c4a83e5d18e93,,1,A1,B1,,2,5,2,3,-5,4,-2,1,4,-3,4,4,2,4,-3,-4,1,4,4,,6,3,3,4,3,8,,59,Female,College or University.,Not familiar,Very familiar,No,No,
211,R_3m8IVh7aYQs6wY2,5f04a14e8b6d1e748d0d9337,,2,A2,B1,,4,3,4,4,-3,4,-2,4,4,-2,5,3,3,4,-3,-3,4,4,4,,10,3,8,8,4,8,,35,Female,College or University.,Not familiar,Somewhat familiar,"Yes, one.",Yes,Occasionally
329,R_1LA8LChJE5l4dV0,6172f16d5134e5f13a47d614,,1,A1,B1,,5,5,5,4,-4,5,-1,3,5,-3,5,4,2,4,-3,-2,1,4,5,,11,7,6,7,4,9,,46,Female,College or University.,Not familiar,Very familiar,No,Yes,Occasionally
251,R_3svveEKtgCmEnU4,56b98f00769307000d12c021,,2,A2,B1,,3,3,3,3,-5,3,-2,2,2,-4,4,2,4,3,-4,-4,3,3,3,,5,1,6,5,0,5,,74,Female,Post-graduate degree.,Somewhat familiar,Somewhat familiar,"Yes, multiple.",Yes,Occasionally
324,R_2DO0IKfVyJTnTzM,5ebbc0b64fa5d7198e40eb2b,,2,A2,B1,,5,5,5,5,-3,5,-2,3,5,-2,5,5,2,5,-2,-2,5,5,5,,13,6,10,8,7,10,,50,Male,College or University.,Not familiar,Somewhat familiar,"Yes, multiple.",Yes,Daily
780,R_2ql7DDxkvIxC3fH,5c78452cac90ae000144bb23,,3,A1,B2,,3,3,3,3,-3,3,-3,3,3,-3,3,3,3,3,-3,-3,4,3,4,,7,0,7,6,3,6,,25,Female,Post-graduate degree.,Somewhat familiar,Somewhat familiar,"Yes, one.",No,
208,R_83dep9IgHvng3DP,60db4782177e41b3ca3a74a9,,1,A1,B1,,4,3,4,3,-4,4,-2,3,3,-4,4,4,3,3,-4,-3,5,4,4,,7,2,9,6,4,6,,25,Female,College or University.,Not familiar,Somewhat familiar,"Yes, one.",No,
264,R_SCuzxHcWqksn0D7,599306c360937e0001899311,,1,A1,B1,,5,3,2,3,-5,5,-1,3,5,-2,5,5,5,5,-2,-2,2,5,5,,16,5,4,6,5,10,,45,Female,College or University.,Not familiar,Somewhat familiar,"Yes, multiple.",Yes,Daily
445,R_brODreF5247Atdn,5fe71dd0efea40508f4a6c1a,,4,A2,B2,,3,3,5,3,-5,5,-4,2,1,-5,3,3,1,1,-5,-5,5,2,1,,0,-3,10,5,0,2,,55,Male,College or University.,Somewhat familiar,Somewhat familiar,"Yes, one.",Yes,Weekly
337,R_1jrnR8GbXLhxtzM,5be33cf3da0eef000144ef5b,,4,A2,B2,,3,3,1,#N/A,-5,2,-3,3,2,-4,4,4,3,2,-5,-5,1,3,4,,3,-1,2,#N/A,2,4,,44,Female,College or University.,Somewhat familiar,Very familiar,No,No,
366,R_6mzgi0jt2GtYk25,56dc883a8960ed000b88de39,,4,A2,B2,,2,3,3,1,-5,2,-4,1,1,-5,2,1,3,2,-5,-5,4,4,1,,-2,-4,7,2,0,3,,63,Female,College or University.,Very familiar,Very familiar,"Yes, one.",Yes,Daily
270,R_2CeuDJw2JYVqfMp,5e2425b75ade0b6af558644b,,1,A1,B1,,4,4,4,3,-3,4,-2,3,3,-3,4,3,3,4,-3,-3,4,4,4,,9,3,8,6,4,7,,49,Female,College or University.,Somewhat familiar,Very familiar,"Yes, one.",Yes,Weekly
574,R_3lVJLWRkyWg3Oht,6400964e93272c1ef2b86662,,2,A2,B1,,4,4,3,4,-4,5,-2,4,4,-4,5,3,3,5,-3,-3,3,3,3,,8,4,6,8,2,9,,70,Male,College or University.,Not familiar,Somewhat familiar,"Yes, one.",Yes,Occasionally
435,R_3kbJ8gDQxKgfKDX,63ff9c5e3b30b61b93e3c2f7,,3,A1,B2,,4,4,3,3,-5,4,-2,3,4,-2,4,4,4,4,-2,-3,4,4,4,,12,3,7,6,3,8,,55,Female,"High School or Secondary School (A-Levels, BTEC, etc.)",Never heard before,Very familiar,"Yes, one.",No,
171,R_31pJRFmaDCo33o8,5e8d804740aaf4000a51d9e9,,3,A1,B2,,5,4,5,4,-2,5,-2,4,5,-3,3,5,5,5,-2,-2,5,5,5,,15,3,10,8,8,10,,38,Female,College or University.,Not familiar,Somewhat familiar,"Yes, one.",Yes,Daily
186,R_1ghHtaotmmy7Xiu,613a4b3ae271b3294e7e7acc,,1,A1,B1,,4,3,5,3,-4,4,-1,3,4,-2,5,4,3,5,-4,-2,5,5,5,,10,5,10,6,5,9,,34,Female,College or University.,Not familiar,Somewhat familiar,"Yes, multiple.",Yes,Occasionally
187,R_3sANgPT0lzsoRM0,631b1437200a529b7f31919d,,1,A1,B1,,4,4,4,4,-5,4,-3,4,5,-3,5,3,1,4,-5,-2,4,4,4,,5,4,8,8,2,9,,28,Female,Post-graduate degree.,Not familiar,Somewhat familiar,No,No,
179,R_3ensU6zIqyWStju,60fcc362d006841f4411e1f3,,2,A2,B1,,4,3,4,2,-5,3,-2,2,2,-3,4,1,3,2,-4,-3,3,3,4,,7,2,7,4,-1,4,,22,Female,College or University.,Not familiar,Somewhat familiar,No,Yes,Occasionally
386,R_2SGlxAiHtnP0zQw,5c97c01445658c0016752431,,1,A1,B1,,5,5,5,3,-4,4,-1,2,4,-4,4,5,2,2,-4,-5,5,5,5,,8,3,10,5,6,6,,23,Female,College or University.,Somewhat familiar,Not familiar,"Yes, multiple.",Yes,Weekly
247,R_2X0bcDrT6PRO1YC,5dc7f4daa6eae358b81c34d9,,4,A2,B2,,4,5,5,3,-4,4,-2,3,3,-3,5,4,2,3,-4,-2,5,4,3,,6,6,10,6,4,6,,51,Male,College or University.,Not familiar,Somewhat familiar,"Yes, one.",Yes,Occasionally
199,R_DAjoaPUAPqugWrL,63d13bc53226dd1eeb2e7a08,,3,A1,B2,,4,3,4,4,-3,4,-2,4,4,-3,4,5,2,4,-3,-2,4,4,4,,8,3,8,8,6,8,,35,Female,Post-graduate degree.,Somewhat familiar,Somewhat familiar,"Yes, one.",Yes,Daily
214,R_0xpZCyowbyRpYeB,5cd4954662092000171ef666,,3,A1,B2,,5,2,5,5,-4,5,-2,3,5,-2,5,4,2,5,-2,-2,5,5,5,,13,3,10,8,5,10,,35,Female,College or University.,Somewhat familiar,Very familiar,"Yes, multiple.",Yes,Occasionally
199,R_2D6V9fISpmRcQCG,63d141f040c855b7fb494d13,,2,A2,B1,,4,4,2,3,-4,3,-3,4,4,-5,4,5,4,3,-5,-4,2,4,3,,4,1,4,7,5,7,,31,Female,"High School or Secondary School (A-Levels, BTEC, etc.)",Somewhat familiar,Very familiar,No,Yes,Occasionally
238,R_29cx2AYS8WWP2MT,607deec383975f3377a28b9e,,4,A2,B2,,4,5,4,2,-4,4,-2,2,2,-5,4,1,2,4,-5,-4,4,4,4,,4,3,8,4,1,6,,39,Female,"High School or Secondary School (A-Levels, BTEC, etc.)",Somewhat familiar,Somewhat familiar,"Yes, multiple.",Yes,Daily
270,R_OvvjcF6j6rA6kLv,6069c3f852b99348e757fb79,,3,A1,B2,,3,5,5,3,-2,5,-2,3,4,-2,4,5,3,4,-3,-2,4,5,5,,11,5,9,6,8,8,,45,Male,Post-graduate degree.,Somewhat familiar,Very familiar,"Yes, multiple.",Yes,Weekly
166,R_3ozOX0JdNRMmrCa,5d1fb438767ef50001d46912,,4,A2,B2,,4,4,2,3,-3,4,-3,2,4,-2,4,2,3,3,-3,-3,2,4,4,,10,2,4,5,3,7,,34,Female,Post-graduate degree.,Not familiar,Not familiar,No,No,
165,R_1DA7P9Vr0ICz2SG,6037bb044df9d7071484ecaa,,1,A1,B1,,5,5,5,4,-4,5,-2,4,4,-3,5,4,3,4,-3,-1,5,5,4,,11,7,10,8,5,8,,24,Female,Post-graduate degree.,Not familiar,Somewhat familiar,"Yes, one.",Yes,Occasionally
179,R_SPpXNCzCKttOsF3,61f2ac22a09e72f23cbaf578,,4,A2,B2,,3,3,3,3,-3,3,-2,2,3,-4,4,3,3,3,-3,-3,1,4,3,,5,2,4,5,4,6,,38,Female,"High School or Secondary School (A-Levels, BTEC, etc.)",Not familiar,Somewhat familiar,No,No,
269,R_Z2mUIiIUFn9HUxb,5ea979685178b007c99e620e,,3,A1,B2,,3,5,4,5,-4,4,-5,5,3,-4,2,4,2,2,-5,-3,5,5,3,,3,-1,9,10,5,5,,66,Male,"High School or Secondary School (A-Levels, BTEC, etc.)",Somewhat familiar,Very familiar,No,Yes,Occasionally
189,R_3njFEFKhG5q8wtL,60359a9af6080fff1ee6d8fc,,2,A2,B1,,3,4,4,2,-5,4,-2,2,2,-5,4,2,4,2,-5,-2,1,2,5,,6,4,5,4,-1,4,,24,Female,Post-graduate degree.,Not familiar,Somewhat familiar,"Yes, multiple.",Yes,Occasionally
197,R_9v2OfaGUlRX4Kn7,62fb797d5a5ee54f878ccb87,,2,A2,B1,,4,4,5,2,-5,4,-2,1,1,-3,5,4,3,4,-4,-3,5,3,5,,9,4,10,3,2,5,,25,Male,Post-graduate degree.,Somewhat familiar,Very familiar,"Yes, one.",No,
261,R_1NbvnL5qwv75oIh,61475be4263c1c8db86fecea,,1,A1,B1,,3,4,4,4,-3,4,-2,3,4,-3,4,4,2,4,-4,-2,4,4,4,,6,4,8,7,5,8,,41,Female,College or University.,Not familiar,Very familiar,No,Yes,Occasionally
417,R_2CUEQ5hTHs0FUR5,5df1117111d87901da0dbc3c,,2,A2,B1,,4,2,5,3,-5,3,-2,3,3,-3,4,2,4,2,-5,-4,5,2,3,,6,0,10,6,-1,5,,38,Female,College or University.,Somewhat familiar,Somewhat familiar,No,No,
280,R_3HUOyNXrGbmERVj,566e1aec744e3e0005b4e668,,4,A2,B2,,2,3,3,2,-4,2,-4,2,2,-4,3,3,2,2,-4,-4,3,3,2,,0,-2,6,4,2,4,,42,Male,College or University.,Not familiar,Somewhat familiar,No,No,
170,R_1PXK1QLAuNBiaIG,5c6dd812066f6b0001556ee1,,4,A2,B2,,4,4,4,3,-4,4,-5,3,4,-3,4,4,3,4,-3,-2,3,4,4,,9,1,7,6,4,8,,40,Female,College or University.,Not familiar,Somewhat familiar,"Yes, multiple.",Yes,Weekly
188,R_BwVeDD9EFwIG3br,5b750b11960d2300015fb026,,4,A2,B2,,5,3,5,4,-5,5,-3,3,4,-5,5,2,4,4,#N/A,-5,5,5,5,,#N/A,0,10,7,2,8,,42,Male,College or University.,Never heard before,Somewhat familiar,"Yes, multiple.",Yes,Weekly
229,R_2YLkPNQelQ47CvE,5a5875af76d1c60001ab1138,,1,A1,B1,,3,3,4,4,-4,4,-2,4,3,-3,5,4,2,4,-3,-3,4,5,3,,6,3,8,8,5,7,,48,Female,"High School or Secondary School (A-Levels, BTEC, etc.)",Somewhat familiar,Somewhat familiar,No,Yes,Occasionally
137,R_22XQy7zXGIOReoa,62ed3755896e6e453f0d711d,,2,A2,B1,,4,4,4,4,-4,4,-3,4,4,-4,4,4,3,4,-4,-4,3,4,4,,7,1,7,8,4,8,,61,Female,College or University.,Somewhat familiar,Somewhat familiar,No,No,
315,R_1d0oCrMEg3JQDfl,610890b3f16ce2a44b73b74a,,3,A1,B2,,5,5,3,4,-1,4,-1,3,4,-1,5,4,4,5,-1,-3,3,5,5,,16,6,6,7,8,9,,40,Female,"High School or Secondary School (A-Levels, BTEC, etc.)",Somewhat familiar,Very familiar,No,No,
188,R_3hfmaKGmb9n5ibn,59bbd2d4178f1b0001828bbb,,3,A1,B2,,2,2,3,3,-4,2,-4,3,2,-4,2,2,2,2,-4,-4,3,3,2,,0,-4,6,6,1,4,,38,Female,College or University.,Not familiar,Very familiar,"Yes, one.",Yes,Occasionally
199,R_9pra4ZMnQ4QWv2p,6002131f8bbd671f5827e81d,,3,A1,B2,,3,3,3,3,-3,3,-3,3,4,-3,3,3,3,3,-3,-3,3,4,4,,7,0,6,6,4,7,,38,Female,Post-graduate degree.,Not familiar,Somewhat familiar,"Yes, multiple.",Yes,Weekly
213,R_BsNJfmPsGCoSB1v,640ddd33a1a3f5d0b482f05d,,2,A2,B1,,4,5,5,4,-4,4,-2,3,4,-2,4,4,4,4,-3,-1,3,4,4,,11,6,8,7,4,8,,39,Female,College or University.,Somewhat familiar,Very familiar,"Yes, multiple.",No,
827,R_1NxoiyCzPAdODQg,5f45882f55090e1a65935ffd,,1,A1,B1,,4,3,2,3,-3,4,-2,3,3,-2,4,2,3,4,-3,-3,2,3,3,,9,2,4,6,2,7,,48,Male,College or University.,Somewhat familiar,Somewhat familiar,No,No,
263,R_3QRctk8T5SdgYCX,61368154768eee38deaa989d,,4,A2,B2,,3,3,5,3,-3,5,-2,2,3,-3,5,2,3,3,-4,-3,5,4,4,,8,3,10,5,3,6,,32,Female,College or University.,Not familiar,Somewhat familiar,"Yes, one.",Yes,Weekly
343,R_vrgyp2bQptc7KzD,5aeb299c6056ef0001778d98,,2,A2,B1,,4,5,5,3,-5,4,-4,4,3,-4,4,5,4,4,-5,-5,4,4,4,,7,0,9,7,4,7,,35,Male,"High School or Secondary School (A-Levels, BTEC, etc.)",Somewhat familiar,Somewhat familiar,"Yes, one.",Yes,Daily
189,R_2TWP7kvhDxQuYLD,5cbacd419bb663000137721c,,3,A1,B2,,2,2,4,3,-5,4,-3,2,2,-3,2,2,3,2,-4,-3,5,2,2,,4,-2,9,5,-1,4,,56,Female,College or University.,Never heard before,Somewhat familiar,No,Yes,Occasionally
138,R_1LFK37z0Y979stN,63ea6bfdedfcb9164c21a4d9,,1,A1,B1,,3,3,4,3,-4,4,-3,2,2,-3,4,2,2,4,-2,-2,4,5,4,,8,2,8,5,3,6,,21,Male,College or University.,Not familiar,Somewhat familiar,"Yes, one.",No,
217,R_2uUs6kfkyEwiue4,59d38c14aeef3b0001022160,,1,A1,B1,,5,5,5,4,-5,5,-2,3,4,-2,5,5,4,4,-2,-2,4,4,5,,15,6,9,7,4,8,,43,Male,"High School or Secondary School (A-Levels, BTEC, etc.)",Somewhat familiar,Somewhat familiar,"Yes, multiple.",Yes,Daily
303,R_32PKvSb2Gzgr09E,5c006baa5b01360001fca664,,4,A2,B2,,4,3,3,3,-4,2,-2,3,2,-2,5,1,1,2,-4,-3,1,3,2,,3,3,4,6,0,4,,24,Male,Post-graduate degree.,Not familiar,Very familiar,No,No,
138,R_1BW1bZihpWXnSvU,5ee33fb13c5362000a292c42,,4,A2,B2,,4,5,5,3,-4,5,-3,5,5,-5,5,4,1,4,-5,-3,5,4,3,,3,4,10,8,4,9,,25,Female,College or University.,Not familiar,Somewhat familiar,"Yes, one.",Yes,Weekly
220,R_efXwBqpwZpRbrVL,641c15c8269fa84e5698e9c2,,3,A1,B2,,4,4,4,3,-2,4,-2,3,4,-2,4,4,5,4,-2,-2,3,5,4,,13,4,7,6,7,8,,27,Male,"High School or Secondary School (A-Levels, BTEC, etc.)",Never heard before,Somewhat familiar,"Yes, one.",Yes,Daily
373,R_2EAxagz2a6YEcyb,62e25cd439789b787d6ede88,,2,A2,B1,,5,5,2,3,-3,5,-1,3,5,-3,5,3,2,4,-2,-2,2,5,5,,12,7,4,6,5,9,,31,Male,College or University.,Never heard before,Not familiar,"Yes, one.",Yes,Weekly
727,R_2EzsPBZzsRlTeEl,5a4a078399311d0001df5ba7,,2,A2,B1,,4,5,3,3,-5,4,-2,3,4,-3,5,4,5,5,-4,-4,5,4,5,,11,4,8,6,3,9,,59,Male,College or University.,Somewhat familiar,Somewhat familiar,No,No,
